PA,HS,PA-HS motions for the last 67.7 Ma from Koivisto 2014,,,,,,,,,,,,
lat,lon,rot,rot_rate,start_age,stop_age,s1start_age,s1stop_age,vxx,vyy,vzz,vxy,vxz,vyz,source
49.3,-49.5,1.02,1.308,0,0.78,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
53.7,-56.9,2.58,1.000,0,2.58,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
59.7,-66.1,5.39,0.915,0,5.89,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
62.9,-70.9,8.23,0.929,0,8.86,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
65.4,-68.7,10.3,0.838,0,12.29,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
68.3,-61.5,15.5,0.887,0,17.47,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
68.8,-69.8,20.4,0.848,0,24.06,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
67.7,-70.8,23.6,0.835,0,28.28,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
66.6,-68.7,27.7,0.826,0,33.54,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
65.4,-64.3,31.6,0.788,0,40.1,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
63.3,-66.5,34.24,0.729,0,47,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
54.7,-54.8,51.71,0.584,0,83.5,0,0,0.000559,0.001727,0.0008344,-0.0001794,-0.0000756,-0.001051,Wessel and Kronke 2008
52.0,-57.9,56.1,0.569,0,95,0,0,0.000853,0.00008837,0.0002594,-0.00001472,-0.000374,-0.00005179,Wessel and Kronke 2008
57.0,-59.2,61.65,0.566,0,106.2,0,0,0.001536,0.0001061,0.0005273,-0.0002446,-0.00001655,0.0000161,Wessel and Kronke 2008
58.1,-60.0,63.88,0.556,0,112.3,0,0,0.0008702,0.0002031,0.0002306,-0.0003577,-0.0001829,0.00003921,Wessel and Kronke 2008
57.3,-55.7,68.6,0.562,0,118.4,0,0,0.0008588,0.0001682,0.0005264,-0.0002994,-0.0005807,0.0001681,Wessel and Kronke 2008
61.0,-63.1,70.61,0.557,0,125,0,0,0.002857,0.0004596,0.002506,-0.0005974,-0.001905,0.0009176,Wessel and Kronke 2008
68.5,-94.0,76.65,0.596,0,131.9,0,0,0.005165,0.001494,0.003205,-0.000305,-0.001488,0.00191,Wessel and Kronke 2008
68.2,-114.4,81.05,0.586,0,144,0,0,0.002587,0.001149,0.002007,-0.0002681,-0.0004146,0.001353,Wessel and Kronke 2008
