AN	AU	Motion of East Antarctica to Australia	 Antarctica fixed											
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
11.164	40.3	1.655		0	2.581	0	0	0	0	0	0	0	0	Cande and Stock 2004
11.591	40.77	3.83		0	6.033	0	0	0	0	0	0	0	0	Cande and Stock 2004
11.896	37.942	6.79		0	11.056	0	0	0	0	0	0	0	0	Cande and Stock 2004
13.393	34.37	12.051		0	19.722	0	0	0	0	0	0	0	0	Cande and Stock 2004
13.805	33.556	15.919		0	25.987	0	0	0	0	0	0	0	0	Cande and Stock 2004
13.58	33.984	17.319		0	28.278	0	0	0	0	0	0	0	0	Cande and Stock 2004
13.396	34.377	18.89		0	31.034	0	0	0	0	0	0	0	0	Cande and Stock 2004
13.451	34.377	20.495		0	33.705	0	0	0	0	0	0	0	0	Cande and Stock 2004
14.65	33.475	22.882		0	38.333	0	0	0	0	0	0	0	0	Cande and Stock 2004
14.92	32.5	24.51		0	43.432	0	0	0	0	0	0	0	0	Whittaker et al. 2008
13.6	33.6	24.64		0	45.724	0	0	0	0	0	0	0	0	Whittaker et al. 2008
9.01	36	25.06		0	53.983	0	0	0	0	0	0	0	0	Whittaker et al. 2008
5.51	38.57	25.3		0	62.221	0	0	0	0	0	0	0	0	Whittaker et al. 2008
3.97	39.11	25.51		0	69.269	0	0	0	0	0	0	0	0	Whittaker et al. 2008
1.04	40.65	25.85		0	71.449	0	0	0	0	0	0	0	0	Whittaker et al. 2008
-3.54	42.94	26.58		0	79.9	0	0	0	0	0	0	0	0	Whittaker et al. 2008
-7.69	44.79	27.49		0	83.64	0	0	0	0	0	0	0	0	Whittaker et al. 2008
