AN	NB	Motion of Nubia to Antarctica												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
-16.33	-150.75	24.71		0	42.301	0	0	0	0	0	0	0	0	Cande et al. 2010
-16.61	-151.68	25.28		0	43.432	0	0	0	0	0	0	0	0	Cande et al. 2010
-15.5	-152.58	26.77		0	45.724	0	0	0	0	0	0	0	0	Cande et al. 2010
-14.75	-153.12	28.06		0	47.349	0	0	0	0	0	0	0	0	Cande et al. 2010
-14.39	-155.24	29.63		0	49.344	0	0	0	0	0	0	0	0	Cande et al. 2010
-13.95	-157.38	31.91		0	51.833	0	0	0	0	0	0	0	0	Cande et al. 2010
-14.47	-160.25	33.68		0	53.983	0	0	0	0	0	0	0	0	Cande et al. 2010
-14.89	-163.94	36.29		0	57.101	0	0	0	0	0	0	0	0	Cande et al. 2010
-15.25	-165.72	37.97		0	58.959	0	0	0	0	0	0	0	0	Cande et al. 2010
