IN	AN	Motion of India to Antarctica	 Antarctica fixed											
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
17.59	28.05	24.32		0	42.301	0	0	0	0	0	0	0	0	Cande & Patriat 2015
16.85	27.99	25.17		0	43.432	0	0	0	0	0	0	0	0	Cande & Patriat 2015
17.32	25.93	26.26		0	45.724	0	0	0	0	0	0	0	0	Cande & Patriat 2015
14.67	27.07	28.11		0	47.349	0	0	0	0	0	0	0	0	Cande & Patriat 2015
15.35	23.82	29.3		0	49.344	0	0	0	0	0	0	0	0	Cande & Patriat 2015
13.74	22.98	32.07		0	51.833	0	0	0	0	0	0	0	0	Cande & Patriat 2015
12.94	22.13	34.58		0	53.983	0	0	0	0	0	0	0	0	Cande & Patriat 2015
12.96	18.91	37.36		0	57.101	0	0	0	0	0	0	0	0	Cande & Patriat 2015
11.77	18.89	39.64		0	58.959	0	0	0	0	0	0	0	0	Cande & Patriat 2015
9.91	18.41	43.59		0	62.221	0	0	0	0	0	0	0	0	Cande & Patriat 2015
9.31	17.92	45.45		0	63.494	0	0	0	0	0	0	0	0	Cande & Patriat 2015
10.57	14.13	47.84		0	65.688	0	0	0	0	0	0	0	0	Cande & Patriat 2015
10.56	12.37	51.26		0	68.369	0	0	0	0	0	0	0	0	Cande & Patriat 2015
9.69	12.46	54.21		0	71.449	0	0	0	0	0	0	0	0	Cande & Patriat 2015
9.07	12.79	56.56		0	74.309	0	0	0	0	0	0	0	0	Cande & Patriat 2015
10.52	9.73	60.03		0	79.9	0	0	0	0	0	0	0	0	Cande & Patriat 2015
9.49	10.56	63.88		0	83.64	0	0	0	0	0	0	0	0	Cande & Patriat 2015
