PA	FR	Motion of Pacific relative to Farallon Plate												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
76.1	-110.7	-45.27		0	33.157	0	0	0	0	0	0	0	0	Tebbens and Cande 1997
-57.206	-119.6863	11.592		33.157	40.145	0	0	0	0	0	0	0	0	Wright et al. 2016
-75.751	-90.302	5.53		40.145	43.432	0	0	0	0	0	0	0	0	Wright et al. 2016
-59.482	-117.813	5.306		43.432	47.349	0	0	0	0	0	0	0	0	Wright et al. 2016
-64.069	-111.485	1.908		47.349	49.344	0	0	0	0	0	0	0	0	Wright et al. 2016
-68.84	-104.776	2.294		49.344	52.62	0	0	0	0	0	0	0	0	Wright et al. 2016
-58.818	-119.609	3.182		52.62	57.101	0	0	0	0	0	0	0	0	Wright et al. 2016
-61.494	-118.605	1.142		57.101	58.959	0	0	0	0	0	0	0	0	Wright et al. 2016
-63.787	-117.523	2.354		58.959	62.517	0	0	0	0	0	0	0	0	Wright et al. 2016
-52.581	-127.173	0.748		62.517	63.494	0	0	0	0	0	0	0	0	Wright et al. 2016
-72.402	-102.63	3.762		63.494	68.369	0	0	0	0	0	0	0	0	Wright et al. 2016
-60.674	-130.481	8.334		68.369	79.9	0	0	0	0	0	0	0	0	Wright et al. 2016
-51.276	-140.757	2.986		79.9	83.64	0	0	0	0	0	0	0	0	Wright et al. 2016
