SA	AN	Motion of West Antarctica to South America; Antarctica fixed												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
-78.75	152.15	-1.25		0	6.733	0	0	0	0	0	0	0	0	Eagles 2016
-79	166.63	-2.82		0	11.056	0	0	0	0	0	0	0	0	Eagles 2016
-82.74	170.787	-5.13		0	16.721	0	0	0	0	0	0	0	0	Eagles 2016
-76.73	171.58	-5.56		0	19.722	0	0	0	0	0	0	0	0	Eagles 2016
-68.37	174.7	-6.61		0	25.987	0	0	0	0	0	0	0	0	Eagles 2016
-73.1	-176.64	-9.8		0	33.157	0	0	0	0	0	0	0	0	Eagles 2016
-72.32	-177.36	-11.7		0	38.615	0	0	0	0	0	0	0	0	Eagles 2016
-75	-161.6	-15.01		0	46.5365	0	0	0	0	0	0	0	0	Eagles 2016
-77.77	-145.26	-18.16		0	57.3785	0	0	0	0	0	0	0	0	Eagles 2016
-76.95	-139.32	-19.13		0	64.0805	0	0	0	0	0	0	0	0	Eagles 2016
-77.47	-131.3	-21.31		0	66.398	0	0	0	0	0	0	0	0	Eagles 2016
-76.26	-133.12	-22.62		0	71.449	0	0	0	0	0	0	0	0	Eagles 2016
-75.67	-134.72	-23.43		0	74.309	0	0	0	0	0	0	0	0	Eagles 2016
-76.51	-123.73	-28.54		0	83.64	0	0	0	0	0	0	0	0	Eagles 2016
